Name,Location,Website
Walmart,2020 Bashford Manor Ln Louisville KY 40218,https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid
Walgreens,Near 40220 (May include multiple locations),https://www.walgreens.com/findcare/vaccination/covid-19/
Walgreens,Near 40291 (May include multiple locations),https://www.walgreens.com/findcare/vaccination/covid-19/
Walmart,12981 Shelbyville Rd Middletown KY 40243,https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid
Walmart,12981 Shelbyville Rd Middletown KY 40243,https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid
Walmart,545 Conestoga Pkwy Shepherdsville KY 40165,https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid
Walgreens,Near 40108 (May include multiple locations),https://www.walgreens.com/findcare/vaccination/covid-19/
Walmart,1165 Walmart Way Radcliff KY 40160,https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid
Kroger,311 Boone Station Rd Shelbyville KY 40065,https://www.kroger.com/rx/guest/get-vaccinated
Kroger,102 W. John Rowan Blvd Bardstown KY 40004,https://www.kroger.com/rx/guest/get-vaccinated
CVS,1571 N Dixie Ave Elizabethtown KY 42701,https://www.cvs.com/vaccine/intake/store/cvd-schedule?icid=covidvaccine-hb-schedule
Walgreens,Near 42701 (May include multiple locations),https://www.walgreens.com/findcare/vaccination/covid-19/
Walmart,301 Leonardwood Rd Frankfort KY 40601,https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid
Jay C,2325 N State Highway 3 North Vernon IN 47265,https://www.kroger.com/rx/guest/get-vaccinated
Kroger,106 Marketplace Circle Georgetown KY 40324,https://www.kroger.com/rx/guest/get-vaccinated
Kroger,106 Marketplace Circle Georgetown KY 40324,https://www.kroger.com/rx/guest/get-vaccinated
Kroger,3060 N. National Rd. Columbus IN 47201,https://www.kroger.com/rx/guest/get-vaccinated
Kroger,3060 N. National Rd. Columbus IN 47201,https://www.kroger.com/rx/guest/get-vaccinated
Kroger,3060 N. National Rd. Columbus IN 47201,https://www.kroger.com/rx/guest/get-vaccinated
Kroger,3060 N. National Rd. Columbus IN 47201,https://www.kroger.com/rx/guest/get-vaccinated
Kroger,3060 N. National Rd. Columbus IN 47201,https://www.kroger.com/rx/guest/get-vaccinated
Kroger,3060 N. National Rd. Columbus IN 47201,https://www.kroger.com/rx/guest/get-vaccinated
Kroger,3060 N. National Rd. Columbus IN 47201,https://www.kroger.com/rx/guest/get-vaccinated
Kroger,3060 N. National Rd. Columbus IN 47201,https://www.kroger.com/rx/guest/get-vaccinated
Kroger,3060 N. National Rd. Columbus IN 47201,https://www.kroger.com/rx/guest/get-vaccinated
Kroger,3060 N. National Rd. Columbus IN 47201,https://www.kroger.com/rx/guest/get-vaccinated
Kroger,3060 N. National Rd. Columbus IN 47201,https://www.kroger.com/rx/guest/get-vaccinated
Kroger,3060 N. National Rd. Columbus IN 47201,https://www.kroger.com/rx/guest/get-vaccinated
